installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
55,3279,389158,0uegOgAsjDrBLfn4efvxF7,吊点加强钢筋_B1:吊点加强钢筋_B1:710120,710120,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
56,3359,390743,0uegOgAsjDrBLfn4efvx3h,吊点加强钢筋_B1:吊点加强钢筋_B1:710340,710340,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
57,3358,390732,0uegOgAsjDrBLfn4efvx3i,吊点加强钢筋_B1:吊点加强钢筋_B1:710339,710339,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
58,3362,390776,0uegOgAsjDrBLfn4efvx3e,吊点加强钢筋_B1:吊点加强钢筋_B1:710343,710343,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
59,3322,390320,0uegOgAsjDrBLfn4efvx11,吊点加强钢筋_B1:吊点加强钢筋_B1:710254,710254,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
60,3318,390276,0uegOgAsjDrBLfn4efvx15,吊点加强钢筋_B1:吊点加强钢筋_B1:710250,710250,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
61,3319,390287,0uegOgAsjDrBLfn4efvx14,吊点加强钢筋_B1:吊点加强钢筋_B1:710251,710251,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
62,3399,391199,0uegOgAsjDrBLfn4efvx3O,吊点加强钢筋_B1:吊点加强钢筋_B1:710391,710391,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
63,3398,391188,0uegOgAsjDrBLfn4efvx3P,吊点加强钢筋_B1:吊点加强钢筋_B1:710390,710390,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
64,3402,391232,0uegOgAsjDrBLfn4efvx3L,吊点加强钢筋_B1:吊点加强钢筋_B1:710394,710394,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
65,3283,389202,0uegOgAsjDrBLfn4efvxF3,吊点加强钢筋_B1:吊点加强钢筋_B1:710124,710124,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
66,3281,389180,0uegOgAsjDrBLfn4efvxF5,吊点加强钢筋_B1:吊点加强钢筋_B1:710122,710122,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
67,3361,390765,0uegOgAsjDrBLfn4efvx3f,吊点加强钢筋_B1:吊点加强钢筋_B1:710342,710342,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
68,3363,390787,0uegOgAsjDrBLfn4efvx3d,吊点加强钢筋_B1:吊点加强钢筋_B1:710344,710344,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
69,3323,390331,0uegOgAsjDrBLfn4efvx10,吊点加强钢筋_B1:吊点加强钢筋_B1:710255,710255,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
70,3321,390309,0uegOgAsjDrBLfn4efvx12,吊点加强钢筋_B1:吊点加强钢筋_B1:710253,710253,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
71,3401,391221,0uegOgAsjDrBLfn4efvx3M,吊点加强钢筋_B1:吊点加强钢筋_B1:710393,710393,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
72,3403,391243,0uegOgAsjDrBLfn4efvx3K,吊点加强钢筋_B1:吊点加强钢筋_B1:710395,710395,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
73,3280,389169,0uegOgAsjDrBLfn4efvxF6,吊点加强钢筋_B1:吊点加强钢筋_B1:710121,710121,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
74,3277,389136,0uegOgAsjDrBLfn4efvxF9,吊点加强钢筋_B1:吊点加强钢筋_B1:710118,710118,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
75,3357,390721,0uegOgAsjDrBLfn4efvx3j,吊点加强钢筋_B1:吊点加强钢筋_B1:710338,710338,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
76,3360,390754,0uegOgAsjDrBLfn4efvx3g,吊点加强钢筋_B1:吊点加强钢筋_B1:710341,710341,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
77,3320,390298,0uegOgAsjDrBLfn4efvx13,吊点加强钢筋_B1:吊点加强钢筋_B1:710252,710252,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
