time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
5156.051711,2011,447,preinsert,7606.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.151004,2011,447,preinsert,7606.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.250298,2011,447,preinsert,7606.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.349591,2011,447,insert,7606.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.432925,2011,447,insert,7606.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.516258,2011,447,insert,7606.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.599591,2011,447,insert,7606.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.682925,2011,447,insert,7606.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5156.766258,2011,447,release,7606.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5156.866258,2011,447,retreat,7606.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5156.966258,2011,447,retreat,7606.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5157.066258,2011,447,retreat,7606.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5157.166258,2011,447,retreat,7606.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5157.266258,2011,447,retreat,7606.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5157.366258,2011,447,retreat,7606.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5157.366258,2012,449,preinsert,7731.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.465552,2012,449,preinsert,7731.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.564845,2012,449,preinsert,7731.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.664139,2012,449,preinsert,7731.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.763432,2012,449,preinsert,7731.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.862726,2012,449,preinsert,7731.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5157.962019,2012,449,preinsert,7731.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.061313,2012,449,preinsert,7731.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.160607,2012,449,preinsert,7731.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.259900,2012,449,preinsert,7731.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.359194,2012,449,preinsert,7731.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.458487,2012,449,preinsert,7731.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.557781,2012,449,preinsert,7731.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
